player_name,date,volume,tone,player_id
Abedallah Shelbayh,2021-06-09,1,0.2,209406
Abedallah Shelbayh,2021-07-11,6,0.2,209406
Abedallah Shelbayh,2021-07-12,1,0.1,209406
Abedallah Shelbayh,2021-10-20,1,0.1,209406
Abedallah Shelbayh,2022-01-14,1,0.2,209406
Abedallah Shelbayh,2022-01-16,1,0.1,209406
Abedallah Shelbayh,2022-01-17,1,0.0,209406
Abedallah Shelbayh,2022-02-19,1,0.0,209406
Abedallah Shelbayh,2022-02-21,1,0.1,209406
Abedallah Shelbayh,2022-03-05,1,0.2,209406
Abedallah Shelbayh,2022-03-10,1,0.2,209406
Abedallah Shelbayh,2022-03-11,1,0.2,209406
Abedallah Shelbayh,2022-03-18,1,0.3,209406
Abedallah Shelbayh,2022-03-19,1,0.3,209406
Abedallah Shelbayh,2022-05-13,1,0.1,209406
Abedallah Shelbayh,2022-09-02,1,0.0,209406
Abedallah Shelbayh,2022-09-04,1,0.2,209406
Abedallah Shelbayh,2022-12-29,2,0.04999999999999999,209406
Abedallah Shelbayh,2022-12-30,1,0.1,209406
Abedallah Shelbayh,2023-02-21,1,0.2,209406
Abedallah Shelbayh,2023-07-10,1,0.1,209406
Abedallah Shelbayh,2023-07-13,1,0.2,209406
Abedallah Shelbayh,2023-07-15,1,0.1,209406
Abedallah Shelbayh,2023-11-27,1,0.3,209406
Abedallah Shelbayh,2023-11-28,1,0.0,209406
Abedallah Shelbayh,2023-11-29,4,0.0,209406
Abedallah Shelbayh,2024-06-03,1,0.3,209406
Adam Moundir,2019-03-16,1,0.2,125842
Adam Moundir,2019-03-18,1,0.2,125842
Adam Moundir,2020-03-11,1,0.1,125842
Adam Moundir,2023-02-06,2,0.35,125842
Adam Moundir,2023-02-14,1,0.3,125842
Adam Moundir,2023-09-14,8,-0.012500000000000002,125842
Adam Moundir,2023-09-15,18,0.21666666666666667,125842
Adam Moundir,2023-09-16,35,0.15428571428571428,125842
Adam Moundir,2023-09-17,13,1.734723475976807e-18,125842
Adam Moundir,2023-10-02,1,0.0,125842
Adam Moundir,2023-10-25,1,0.0,125842
Adam Moundir,2023-11-02,1,0.3,125842
Adam Moundir,2023-12-26,1,0.0,125842
Adam Moundir,2024-01-06,1,0.3,125842
Adam Moundir,2024-05-27,1,0.0,125842
Adam Moundir,2024-10-24,1,0.0,125842
Adam Moundir,2024-11-20,1,0.3,125842
Adam Neff,2016-08-22,1,0.0,208117
Adam Neff,2017-08-08,1,0.2,208117
Adam Neff,2018-02-03,1,0.0,208117
Adam Neff,2018-02-05,1,0.0,208117
Adam Neff,2018-07-01,2,0.0,208117
Adam Neff,2020-06-03,2,-0.2,208117
Adam Neff,2021-02-28,1,0.1,208117
Adam Neff,2021-05-21,1,0.2,208117
Adam Neff,2021-09-12,1,0.0,208117
Adam Neff,2022-02-18,1,0.2,208117
Adam Neff,2022-12-17,1,0.1,208117
Adam Neff,2023-03-02,1,0.3,208117
Adam Neff,2023-11-21,1,-0.3,208117
Adam Neff,2024-01-10,1,0.3,208117
Adam Neff,2024-02-07,2,0.1,208117
Adam Neff,2024-02-15,1,0.3,208117
Adam Neff,2024-02-19,1,0.3,208117
Adam Neff,2024-02-20,1,0.3,208117
Adam Neff,2024-02-29,1,0.4,208117
Adam Neff,2024-03-14,1,-0.4,208117
Adam Pavlasek,2016-07-23,1,0.0,106361
Adam Pavlasek,2016-09-19,1,0.0,106361
Adam Pavlasek,2016-10-05,1,0.0,106361
Adam Pavlasek,2016-12-20,4,0.05,106361
Adam Pavlasek,2016-12-21,4,0.025000000000000005,106361
Adam Pavlasek,2016-12-25,1,-0.1,106361
Adam Pavlasek,2016-12-30,13,0.16153846153846155,106361
Adam Pavlasek,2016-12-31,10,0.16,106361
Adam Pavlasek,2017-01-01,39,0.06153846153846154,106361
Adam Pavlasek,2017-01-02,5,0.020000000000000004,106361
Adam Pavlasek,2017-01-03,6,0.05,106361
Adam Pavlasek,2017-01-04,29,0.11034482758620691,106361
Adam Pavlasek,2017-01-05,2,0.2,106361
Adam Pavlasek,2017-01-06,4,0.3,106361
Adam Pavlasek,2017-01-07,2,0.2,106361
Adam Pavlasek,2017-01-09,2,0.2,106361
Adam Pavlasek,2017-01-10,1,0.1,106361
Adam Pavlasek,2017-01-11,1,0.3,106361
Adam Pavlasek,2017-01-13,1,0.0,106361
Adam Pavlasek,2017-01-16,4,0.05,106361
Adam Pavlasek,2017-01-17,12,0.05833333333333335,106361
Adam Pavlasek,2017-01-18,3,0.13333333333333333,106361
Adam Pavlasek,2017-01-19,8,0.11250000000000002,106361
Adam Pavlasek,2017-02-04,8,0.05,106361
Adam Pavlasek,2017-03-22,1,0.3,106361
Adam Pavlasek,2017-03-23,1,0.1,106361
Adam Pavlasek,2017-03-26,1,0.2,106361
Adam Pavlasek,2017-04-02,1,0.1,106361
Adam Pavlasek,2017-07-04,13,-0.007692307692307693,106361
Adam Pavlasek,2017-07-05,31,0.09677419354838711,106361
Adam Pavlasek,2017-07-06,31,0.13225806451612904,106361
Adam Pavlasek,2017-07-07,17,0.12352941176470589,106361
Adam Pavlasek,2017-07-08,3,0.19999999999999998,106361
Adam Pavlasek,2017-07-09,3,0.1,106361
Adam Pavlasek,2017-07-10,1,0.0,106361
Adam Pavlasek,2017-07-11,2,0.1,106361
Adam Pavlasek,2017-07-13,2,0.05,106361
Adam Pavlasek,2017-07-31,1,0.2,106361
Adam Pavlasek,2017-09-12,5,0.2,106361
Adam Pavlasek,2017-09-13,2,0.2,106361
Adam Pavlasek,2018-04-07,1,0.0,106361
Adam Pavlasek,2018-05-31,1,0.1,106361
Adam Pavlasek,2018-06-26,1,0.0,106361
Adam Pavlasek,2020-04-03,1,0.0,106361
Adam Pavlasek,2023-02-26,16,0.1,106361
Adam Pavlasek,2023-03-01,1,0.1,106361
Adam Pavlasek,2023-03-03,1,0.1,106361
Adam Pavlasek,2023-03-04,2,0.1,106361
Adam Pavlasek,2023-04-19,1,0.0,106361
Adam Pavlasek,2023-04-20,1,0.0,106361
Adam Pavlasek,2023-07-11,3,0.16666666666666669,106361
Adam Pavlasek,2023-07-12,1,0.0,106361
Adam Pavlasek,2023-07-16,1,0.2,106361
Adam Pavlasek,2023-09-14,20,0.08,106361
Adam Pavlasek,2023-09-15,11,0.009090909090909094,106361
Adam Pavlasek,2023-09-16,1,0.0,106361
Adam Pavlasek,2023-09-17,30,0.08,106361
Adam Pavlasek,2023-09-18,5,0.04000000000000001,106361
Adam Pavlasek,2023-09-20,1,0.0,106361
Adam Pavlasek,2023-10-23,2,0.1,106361
Adam Pavlasek,2023-11-22,3,0.1,106361
Adam Pavlasek,2023-11-23,12,0.15833333333333333,106361
Adam Pavlasek,2023-11-24,2,0.15000000000000002,106361
Adam Pavlasek,2023-11-28,1,0.2,106361
Adam Pavlasek,2023-12-06,1,0.1,106361
Adam Pavlasek,2023-12-11,1,0.1,106361
Adam Pavlasek,2024-01-03,1,0.1,106361
Adam Pavlasek,2024-01-22,1,0.1,106361
Adam Pavlasek,2024-01-23,9,0.36666666666666664,106361
Adam Pavlasek,2024-01-24,2,0.15000000000000002,106361
Adam Pavlasek,2024-02-04,1,0.1,106361
Adam Pavlasek,2024-02-06,1,0.2,106361
Adam Pavlasek,2024-02-22,2,0.3,106361
Adam Pavlasek,2024-02-28,2,0.0,106361
Adam Pavlasek,2024-03-02,1,0.3,106361
Adam Pavlasek,2024-03-04,1,0.3,106361
Adam Pavlasek,2024-05-03,1,0.0,106361
Adam Pavlasek,2024-06-01,1,0.0,106361
Adam Pavlasek,2024-07-15,2,0.05,106361
Adam Pavlasek,2024-07-18,4,0.05,106361
Adam Pavlasek,2024-07-19,2,0.0,106361
Adam Pavlasek,2024-07-20,1,0.1,106361
Adam Pavlasek,2024-07-25,4,0.1,106361
Adam Pavlasek,2024-07-31,1,0.2,106361
Adam Pavlasek,2024-08-01,5,0.12,106361
Adam Pavlasek,2024-08-02,9,0.2,106361
Adam Pavlasek,2024-08-03,6,0.15,106361
Adam Pavlasek,2024-08-04,1,0.0,106361
Adam Pavlasek,2024-09-11,1,0.2,106361
Adam Pavlasek,2024-09-12,7,0.18571428571428572,106361
Adam Pavlasek,2024-09-13,7,0.12857142857142856,106361
Adam Pavlasek,2024-09-14,1,0.2,106361
Adam Pavlasek,2024-09-15,1,0.2,106361
Adam Pavlasek,2024-10-12,2,0.5,106361
Adam Pavlasek,2024-11-04,1,0.2,106361
Adam Walton,2016-07-27,1,0.0,200443
Adam Walton,2016-08-01,1,0.0,200443
Adam Walton,2016-08-20,1,0.0,200443
Adam Walton,2016-08-30,1,0.0,200443
Adam Walton,2016-09-10,1,0.0,200443
Adam Walton,2016-09-16,1,0.0,200443
Adam Walton,2016-09-23,1,0.0,200443
Adam Walton,2016-10-05,1,0.0,200443
Adam Walton,2016-10-09,1,0.0,200443
Adam Walton,2016-10-18,1,0.0,200443
Adam Walton,2016-10-24,1,0.0,200443
Adam Walton,2016-11-07,1,0.0,200443
Adam Walton,2016-11-23,1,0.2,200443
Adam Walton,2016-12-13,30,0.0,200443
Adam Walton,2016-12-14,5,0.0,200443
Adam Walton,2016-12-26,3,0.16666666666666669,200443
Adam Walton,2017-02-03,1,0.3,200443
Adam Walton,2017-02-05,1,0.3,200443
Adam Walton,2017-02-10,1,0.4,200443
Adam Walton,2017-03-16,1,0.3,200443
Adam Walton,2017-06-12,1,0.2,200443
Adam Walton,2017-06-24,1,0.0,200443
Adam Walton,2017-06-30,1,-0.1,200443
Adam Walton,2017-07-02,1,0.1,200443
Adam Walton,2017-07-16,1,0.0,200443
Adam Walton,2017-07-17,1,-0.1,200443
Adam Walton,2017-07-20,4,-0.15000000000000002,200443
Adam Walton,2017-07-22,3,-0.16666666666666669,200443
Adam Walton,2017-07-23,3,-0.16666666666666669,200443
Adam Walton,2017-07-24,1,-0.1,200443
Adam Walton,2017-07-28,1,0.2,200443
Adam Walton,2017-07-30,1,-0.2,200443
Adam Walton,2017-08-03,1,-0.2,200443
Adam Walton,2017-08-04,2,-0.1,200443
Adam Walton,2017-08-13,1,0.0,200443
Adam Walton,2017-09-05,1,0.1,200443
Adam Walton,2017-09-08,1,0.0,200443
Adam Walton,2017-10-04,1,0.2,200443
Adam Walton,2017-11-02,1,0.1,200443
Adam Walton,2018-02-09,1,0.3,200443
Adam Walton,2018-02-10,1,0.2,200443
Adam Walton,2018-02-16,1,0.4,200443
Adam Walton,2018-04-15,1,0.0,200443
Adam Walton,2018-04-28,1,-0.1,200443
Adam Walton,2018-05-02,1,0.0,200443
Adam Walton,2018-05-07,1,0.5,200443
Adam Walton,2018-05-12,1,0.0,200443
Adam Walton,2018-06-14,1,0.3,200443
Adam Walton,2018-06-17,1,0.1,200443
Adam Walton,2018-06-18,1,-0.1,200443
Adam Walton,2018-06-24,1,0.0,200443
Adam Walton,2018-06-25,1,0.0,200443
Adam Walton,2018-07-03,1,-0.1,200443
Adam Walton,2018-07-07,1,-0.1,200443
Adam Walton,2018-07-14,1,-0.2,200443
Adam Walton,2018-07-16,1,0.0,200443
Adam Walton,2018-07-22,1,-0.1,200443
Adam Walton,2018-07-28,1,0.0,200443
Adam Walton,2018-08-05,1,-0.1,200443
Adam Walton,2018-08-11,1,-0.1,200443
Adam Walton,2018-08-12,3,0.0,200443
Adam Walton,2018-08-16,1,0.0,200443
Adam Walton,2018-08-19,1,-0.1,200443
Adam Walton,2018-08-22,1,0.3,200443
Adam Walton,2018-08-24,1,0.0,200443
Adam Walton,2018-08-26,2,0.0,200443
Adam Walton,2018-08-27,1,0.0,200443
Adam Walton,2018-08-30,1,-0.1,200443
Adam Walton,2018-09-02,2,0.4,200443
Adam Walton,2018-09-07,1,0.0,200443
Adam Walton,2018-09-09,1,0.0,200443
Adam Walton,2018-09-15,7,0.0,200443
Adam Walton,2018-09-16,1,0.0,200443
Adam Walton,2018-10-24,1,-0.1,200443
Adam Walton,2018-11-01,1,0.2,200443
Adam Walton,2018-11-30,1,0.0,200443
Adam Walton,2018-12-10,3,0.4,200443
Adam Walton,2018-12-11,1,0.4,200443
Adam Walton,2019-01-16,2,0.0,200443
Adam Walton,2019-01-17,1,0.0,200443
Adam Walton,2019-01-18,3,0.0,200443
Adam Walton,2019-02-10,2,0.0,200443
Adam Walton,2019-03-28,1,0.2,200443
Adam Walton,2019-04-20,2,0.4,200443
Adam Walton,2019-04-21,1,0.1,200443
Adam Walton,2019-04-30,1,0.1,200443
Adam Walton,2019-05-17,1,0.2,200443
Adam Walton,2019-06-05,1,-0.1,200443
Adam Walton,2019-06-07,3,0.3,200443
Adam Walton,2019-06-29,2,0.0,200443
Adam Walton,2019-07-03,1,0.1,200443
Adam Walton,2019-07-13,1,0.3,200443
Adam Walton,2019-07-14,1,0.0,200443
Adam Walton,2019-10-19,1,0.0,200443
Adam Walton,2019-10-20,1,0.0,200443
Adam Walton,2019-10-23,1,0.1,200443
Adam Walton,2019-12-09,1,0.3,200443
Adam Walton,2020-01-25,1,0.0,200443
Adam Walton,2020-01-26,1,0.0,200443
Adam Walton,2020-02-22,1,-0.1,200443
Adam Walton,2020-04-09,1,0.2,200443
Adam Walton,2020-04-15,2,0.4,200443
Adam Walton,2020-04-17,1,0.3,200443
Adam Walton,2020-05-11,1,0.0,200443
